資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180413,0050,1,14570,3282942,0.64
20180413,0050,2,31372,59840190,11.74
20180413,0050,3,3301,25990652,5.10
20180413,0050,4,864,11193805,2.19
20180413,0050,5,547,10086736,1.97
20180413,0050,6,470,12015284,2.35
20180413,0050,7,197,7079990,1.38
20180413,0050,8,136,6291668,1.23
20180413,0050,9,211,15123579,2.96
20180413,0050,10,76,10807694,2.12
20180413,0050,11,46,13189019,2.58
20180413,0050,12,19,9168652,1.79
20180413,0050,13,4,2753000,0.54
20180413,0050,14,4,3492307,0.68
20180413,0050,15,45,319184482,62.64
20180413,0050,16,0,0,0.00
20180413,0050,17,51862,509500000,100.00
20180413,0051,1,236,36687,0.40
20180413,0051,2,1426,2798333,31.09
20180413,0051,3,137,1096046,12.17
20180413,0051,4,41,527000,5.85
20180413,0051,5,26,498000,5.53
20180413,0051,6,13,338934,3.76
20180413,0051,7,8,268000,2.97
20180413,0051,8,5,236000,2.62
20180413,0051,9,9,624000,6.93
20180413,0051,10,4,462000,5.13
20180413,0051,11,2,436000,4.84
20180413,0051,12,2,909000,10.10
20180413,0051,13,1,770000,8.55
20180413,0051,14,0,0,0.00
20180413,0051,15,0,0,0.00
20180413,0051,16,0,0,0.00
20180413,0051,17,1910,9000000,100.00
20180413,0052,1,557,109178,1.81
20180413,0052,2,277,522153,8.70
20180413,0052,3,31,270000,4.50
20180413,0052,4,5,61669,1.02
20180413,0052,5,5,95000,1.58
20180413,0052,6,1,26000,0.43
20180413,0052,7,1,32000,0.53
20180413,0052,8,1,50000,0.83
20180413,0052,9,3,218000,3.63
20180413,0052,10,3,434000,7.23
20180413,0052,11,0,0,0.00
20180413,0052,12,0,0,0.00
20180413,0052,13,0,0,0.00
20180413,0052,14,0,0,0.00
20180413,0052,15,1,4182000,69.70
20180413,0052,16,0,0,0.00
20180413,0052,17,885,6000000,100.00
20180413,0053,1,39,3348,0.05
20180413,0053,2,678,1448652,22.32
20180413,0053,3,103,889000,13.70
20180413,0053,4,17,221000,3.40
20180413,0053,5,23,437000,6.73
20180413,0053,6,4,101000,1.55
20180413,0053,7,2,78000,1.20
20180413,0053,8,2,100000,1.54
20180413,0053,9,2,155000,2.38
20180413,0053,10,1,167000,2.57
20180413,0053,11,0,0,0.00
20180413,0053,12,1,478000,7.36
20180413,0053,13,1,616000,9.49
20180413,0053,14,0,0,0.00
20180413,0053,15,1,1794000,27.65
20180413,0053,16,0,0,0.00
20180413,0053,17,874,6488000,100.00
20180413,0054,1,45,1761,0.01
20180413,0054,2,912,1950598,16.78
20180413,0054,3,166,1430000,12.30
20180413,0054,4,53,708000,6.09
20180413,0054,5,43,833000,7.16
20180413,0054,6,11,284000,2.44
20180413,0054,7,12,448000,3.85
20180413,0054,8,7,336000,2.89
20180413,0054,9,7,582641,5.01
20180413,0054,10,5,790000,6.79
20180413,0054,11,2,620000,5.33
20180413,0054,12,1,596000,5.12
20180413,0054,13,0,0,0.00
20180413,0054,14,0,0,0.00
20180413,0054,15,1,3044000,26.18
20180413,0054,16,0,0,0.00
20180413,0054,17,1265,11624000,100.00
20180413,0055,1,146,20721,0.05
20180413,0055,2,2412,5458331,15.30
20180413,0055,3,527,4499600,12.62
